id_hotel,nombre,url_principal,ciudad,pais,latitud,longitud,url_2,url_3,url_4,url_5,url_6,url_7,url_8,url_9,url_10
253251479,Hotel Summerville,,,Brasil,-8.4354287,-34.9809079,,,,,,,,,
253271848,Portal Atlantico,,,Brasil,-8.4775277,-34.9989292,,,,,,,,,
253406764,Praia do Futuro,,,Brasil,-3.7327552,-38.4583392,,,,,,,,,
311245596,Pousada e Restaurante Vista Linda,,Domingos Martins,Brasil,-20.3818899,-40.6052022,,,,,,,,,
315623285,,,,Brasil,-20.8413218,-41.1230427,,,,,,,,,
322323159,Pouso Cipó,,,Brasil,-19.3236384,-43.6135738,,,,,,,,,
322323185,Pousada Villa Verde Chalés,,,Brasil,-19.3284606,-43.6158838,,,,,,,,,
322323326,Pousada Ecobamboo,,,Brasil,-19.3307563,-43.6193149,,,,,,,,,
322536598,Pousada Bela Vista,,,Brasil,-19.3376463,-43.6323557,,,,,,,,,
322551742,Pousada das Flores Piedade,,,Brasil,-19.3361107,-43.6245207,,,,,,,,,
322551888,Pousada Pôr do Sol,,,Brasil,-19.3432129,-43.6404424,,,,,,,,,
331954898,,,,Brasil,-22.9643453,-43.1770607,,,,,,,,,
349252748,Pousada dos Cocais,,,Brasil,-19.9242148,-40.111301,,,,,,,,,
416653243,Jardim do Ouro,,,Brasil,-6.2553459,-55.771089,,,,,,,,,
445662664,,,,Brasil,-23.4968915,-46.8480735,,,,,,,,,
445662683,,,,Brasil,-23.4925528,-46.8476979,,,,,,,,,
450195952,Fazenda São Gerônimo,,,Brasil,-0.6911978,-48.4983098,,,,,,,,,
450645615,Pousada dos Guarás,,,Brasil,-0.7700551,-48.5124439,,,,,,,,,
452657840,Vitória,,Rio de Janeiro,Brasil,-22.9264561,-43.176775,,,,,,,,,
482734199,Piramide,,,Brasil,-24.5232485,-48.1088989,,,,,,,,,
482736038,Rial,,,Brasil,-24.1804858,-46.7853338,,,,,,,,,
486883738,Hotel Pousada da Colina,,,Brasil,-21.7065818,-47.4818674,,,,,,,,,
493041520,San Siro,,,Brasil,-22.0105731,-47.8890936,,,,,,,,,
502762270,,,,Brasil,-5.8206127,-35.2384034,,,,,,,,,
502762276,,,,Brasil,-5.821648,-35.2331174,,,,,,,,,
504459657,Pousada Casa das Flores,,,Brasil,-14.1762751,-47.8148154,,,,,,,,,
530816188,,,,Brasil,-15.8602134,-48.9561094,,,,,,,,,
