lodging_id,street,housenumber,city,state,postcode,full_address
node:863771890,Avenida Constituyentes,2,Playa del Carmen,,77710,
node:863771894,,,,,,
node:863771899,,,,,,
node:863771911,,,,,,
node:863771923,,,,,,
node:863771932,,,,,,
node:863771935,,,,,,
node:863771943,,,,,,
node:863771957,,,,,,
node:863771968,,,,,,
node:863771998,,,,,,
node:863772007,,,,,,
node:865040882,,,,,,
node:865040976,,,,,,
node:865041053,,,,,,
node:865041339,,,,,,
node:865041807,,,,,,
node:865041988,,,,,,
node:865042083,,,,,,
node:865061919,,,,,,
node:870856575,,,,,,
node:870856604,,,,,,
node:870856612,,,,,,
node:870856660,,,,,,
node:870856723,,,,,,
node:870856833,,,,,,
node:870856844,,,,,,
node:870856905,,,,,,
node:870856951,,,,,,
node:870856976,,,,,,
node:882127354,Avenida División del Norte,3545,,,,
node:887070973,,,,,,
node:887070981,Avenida Vista Hermosa,13,,,,
node:890960598,,,,,,
node:898194251,,,,,,
node:898203762,,,,,,
node:902953409,,,,,,
node:903641472,,,,,,
node:906435903,,,,,,
node:912009855,,,,,,
node:912010380,,,,,,
node:912329336,20 de Noviembre,,Papantla de Olarte,,93400,
node:914948677,,,,,,
node:920559337,,,,,,
node:920559339,,,,,,
node:920559343,,,,,,
node:920559347,,,,,,
node:920559363,,,,,,
node:920559379,,,,,,
node:920559395,,,,,,
node:920559422,,,,,,
node:920559468,,,,,,
node:920559483,,,,,,
node:920559496,,,,,,
node:920559564,,,,,,
node:920559579,,,,,,
node:920559593,,,,,,
node:920559660,,,,,,
node:920559673,,,,,,
node:920559702,,,,,,
node:920559716,,,,,,
node:920559725,,,,,,
node:920559804,,,,,,
node:920559858,,,,,,
node:920559915,,,,,,
node:920559933,,,,,,
node:920559972,,,,,,
node:920625044,,,,,,
node:931731914,Calle Frontera,217,Ciudad de México,,06700,
node:938895068,,,,,,
node:938895196,,,,,,
node:938895694,,,,,,
node:938895780,,,,,,
node:938895875,,,,,,
node:938895954,,,,,,
node:938896041,"Carretera Federal 307, Chetumal-Puerto Juarez, Manzana 7, Lote 1, S.M. 11",,Puerto Morelos,,77580,
node:938896582,,,,,,
node:938896669,,,,,,
node:947410240,Paseo Tollocan,818,Toluca,,50160,
node:949278124,,,,,,
node:958717762,,,,,,
node:976101920,,,,,,
node:981835559,,,,,,
node:983952676,,,,,,
node:983966486,,,,,,
node:984857915,,,,,,
node:984908973,,,,,,
node:986738889,,,,,,
node:986738899,,,,,,
node:986790081,,,,,,
node:987586398,,,,,,
node:992979181,,,,,,
node:992979223,,,,,,
node:992979234,,,,,,
node:995703338,Avenida Benito Juarez,115,San Martín Texmelucan de Labastida,,74000,
node:995703358,,,,,,
node:997181032,,,,,,
node:1002721113,,,,,,
node:1033916916,,,,,,
node:1033918078,,,,,,
node:1033924612,,,,,,
node:1040474937,,,,,,
node:1041410330,Avenida Eugenio Garza Sada,3680,Monterrey,,647770,
node:1043663778,,,,,,
node:1044554588,,,,,,
node:1044554609,,,,,,
node:1044554614,,,,,,
node:1044554619,,,,,,
node:1044554673,,,,,,
node:1044554677,,,,,,
node:1044554699,,,,,,
node:1044677053,,,,,,
node:1052484188,,,,,,
node:1069852918,,,,,,
node:1070222163,Paseo Constituyentes,124,,,,
node:1079124571,Avenida de los Héroes,159 Int. B,Chetumal,,77000,
node:1079124894,Avenida de los Héroes,171,Chetumal,,77000,
node:1080701218,,,,,,
node:1082446843,,,,,,
node:1125928060,,,,,,
node:1152082274,,,,,,
node:1160114695,,,,,,
node:1160114748,,,,,,
node:1164584448,,,,,,
node:1164608594,,,,,,
node:1164608617,,,,,,
node:1191029140,,,,,,
node:1191342752,,,,,,
node:1191342797,,,,,,
node:1205736012,,,,,,
node:1208019356,,,,,,
node:1210871808,Avenida Ignacio L. Vallarta,5005,Zapopan,,45050,
node:1213450567,,,,,,
node:1213450604,,,,,,
node:1214961907,Blvd Costero,801,Coatzacoalcos,,96538,
node:1216053562,,,,,,
node:1217880476,,,,,,
node:1226407833,,,,,,
node:1227113140,,,,,,
node:1227113146,,,,,,
node:1228221464,,,,,,
node:1228230036,,,,,,
node:1228238636,,,,,,
node:1253174202,,,,,,
node:1273143221,,,,,,
node:1279285206,,,,,,
node:1281734493,,,,,,
node:1283831995,,,,,,
node:1284433384,,,,,,
node:1284609477,,,,,,
node:1286589629,,,,,,
node:1289117027,,,,,,
node:1302279734,,,,,,
node:1304638968,Avenida Fundidora,500,Monterrey,,64010,
node:1305387661,,,,,,
node:1305930984,,,,,,
node:1306137919,,,,,,
node:1306137921,,,,,,
node:1307007134,,,,,,
node:1307007135,,,,,,
node:1307007147,,,,,,
node:1307007149,,,,,,
node:1307007150,,,,,,
node:1307007151,,,,,,
node:1307007159,,,,,,
node:1307007162,,,,,,
node:1307007165,,,,,,
node:1307007166,,,,,,
node:1307007167,,,,,,
node:1307007168,,,,,,
node:1307007169,,,,,,
node:1307007171,,,,,,
node:1307011271,,,,,,
node:1307011273,,,,,,
node:1307011274,,,,,,
node:1307011275,,,,,,
node:1307011276,,,,,,
node:1307011277,,,,,,
node:1307011278,,,,,,
node:1307011279,,,,,,
node:1307011280,,,,,,
node:1307011281,,,,,,
node:1307011282,,,,,,
node:1307011283,,,,,,
node:1311148661,,,,,,
node:1313713904,,,,,,
node:1337503978,Avenida Constitución,1707,Monterrey,,64070,
node:1340443190,,,,,,
node:1340844763,,,San Luis Río Colorado,,,
node:1346976412,Blvd. Tangolunda,,Santa María Huatulco,,70989,
node:1354681511,Carr Miguel Alemán,,Apodaca,,66600,
node:1354681514,Boulevard Interamérican,105 Al 109,Apodaca,,66600,
node:1354681515,Avenida Miguel Alemán,,Monterrey,,66600,
node:1356420898,Avenida Universidad,501,Monterrey,,64650,
node:1383641705,,,,,,
node:1399147715,Avenida Cristóbal Colón,126,,,87000,
node:1399179732,Avenida Cristóbal Colón,349,,,87000,
node:1399179735,Allende,814,,,87000,
node:1408081996,,,,,,
node:1410928495,,,,,,
node:1410928850,,,,,,
node:1412285430,,,,,,
node:1415534714,,,,,,
node:1417314993,,,,,,
node:1418757943,,,,,,
node:1419391413,,,,,,
node:1421822515,,,,,,
node:1421822551,,,,,,
node:1430135981,Avenida Lázaro Cárdenas,2305,San Pedro Garza García,,66260,
node:1431037351,Avenida Diego Rivera,2492,San Pedro Garza García,,66200,
node:1431037365,Avenida José Vasconcelos,300 Ote.,San Pedro Garza García,,66260,
node:1431037373,Avenida Diego Rivera,500,San Pedro Garza García,,,
node:1431037404,Avenida Diego Rivera,555,San Pedro Garza García,,66260,
node:1446278060,,,,,,
node:1446665383,,,,,,
node:1446665386,,,,,,
node:1460498462,,,,,,
node:1467509552,,,,,,
node:1471154249,,,,,,
node:1471168231,,,,,,
node:1472601088,,,,,,
node:1473460534,,,,,,
node:1481543048,,,,,,
node:1488094931,,,,,,
node:1488233366,,,,,,
node:1491015941,,,,,,
node:1491019739,,,,,,
node:1492053745,,,,,,
node:1498980524,,,,,,
node:1498980890,Carretera Mexico - Pachuca,KM 85.5,Pachuca,,42083,
node:1500924292,,,,,,
node:1504194697,,,,,,
node:1504219552,,,,,,
node:1506396670,,,,,,
node:1510595898,J. Diego Valadez Poniente,1676,Culiacán,SIN,80030,
node:1510595931,Diego Valadés Ríos,99,Culiacán,SIN,80020,
node:1516701198,Avenida del Sol,309,Riviera Maya,,77710,
node:1516903498,Carretera Chetumal,Km 309,Riviera Maya,,77710,
node:1516903500,Carretera Chetumal,Km 309,Riviera Maya,,77710,
node:1520470836,,,,,,
node:1520470866,Calle del 20 de Noviembre,201,Oaxaca,,68000,
node:1520470947,Calle Galeana,304,Oaxaca,,68000,
node:1520475874,,,,,,
node:1521239381,,,,,,
node:1528749283,,,,,,
node:1533444994,,,,,,
node:1536222362,,,,,,
node:1541852509,Calle de José María Pino Suárez,517,Oaxaca de Juárez,,68000,
node:1544676939,,,,,,
node:1544676940,,,,,,
node:1544709004,,,,,,
node:1550789087,,,,,,
node:1556176646,,,,,,
node:1561804000,,,,,,
node:1561804001,,,,,,
node:1561804002,,,,,,
node:1562224755,,,,,,
node:1576303346,,,,,,
node:1576952054,,,,,,
node:1582002788,Avenida Miguel Alemán,6064,Guadalupe,,67138,
node:1582018166,Calle Francisco Javier Clavijero,17,Xalapa,,91000,
node:1583364236,Hermanos Dominguez,5,San Cristóbal de Las Casas,,29200,
node:1588843549,,,,,,
node:1595625036,,,,,,
node:1599490627,Calle del Tejar,10,Xalapa,,91060,
node:1599491488,,,,,,
node:1600642494,,,,,,
node:1600642509,,,,,,
node:1613843051,,,,,,
node:1617947384,Avenida 20 de Noviembre,455,Xalapa,,91040,
node:1619514576,,,,,,
node:1619514578,,,,,,
node:1621621161,Calle 4 Norte,153,Playa del Carmen,,77710,
node:1639982158,,,,,,
node:1641228594,,,,,,
node:1641458875,,,,,,
node:1642182059,,,,,,
node:1643830173,,,,,,
node:1646501874,,,,,,
node:1651829940,,,Tulum,,,
node:1652459863,,,,,,
node:1654016901,,,,,,
node:1656681984,,,,,,
node:1669115609,,,,,,
node:1669115616,,,,,,
node:1669115618,,,,,,
node:1677836714,,,,,,
node:1677836881,,,,,,
node:1677845139,,,,,,
node:1677850925,,,,,,
node:1677854258,,,,,,
node:1678688997,Av. Urano,1113,Boca del Rio,,94249,
node:1679998257,,,,,,
node:1681898804,,,,,,
node:1683615044,,,,,,
node:1683615055,,,,,,
node:1684104988,,,,,,
node:1684104989,Bulevar Manuel Ávila Camacho,3797,Veracruz,,94294,
node:1684104990,Salvador Diaz Miron,1572,Veracruz,,91910,
node:1684104992,,,,,,
node:1684104994,,,,,,
node:1686097914,,,,,,
node:1686097920,,,,,,
node:1686183763,Calle Valencia,225,Veracruz,,91910,
node:1686183765,Calle Francisco Canal,265,Veracruz,,91709,
node:1686183780,Avenida Ruiz Cortines,2000,Boca del Rio,,94299,
node:1686183796,Calle José María Pino Suárez,2625,Veracruz,,91700,
node:1686183801,,,,,,
node:1686231017,,,,,,
node:1686470406,,,,,,
node:1686470407,,,,,,
node:1694043535,,,,,,
node:1696998562,,,,,,
node:1700061285,,,,,,
node:1700527761,,,,,,
node:1701920258,,,,,,
node:1702714513,,,,,,
node:1703636349,,,,,,
node:1703835642,,,,,,
node:1704900296,,,,,,
node:1704908337,Calle Lote Hotelero,6,Playa del Carmen,,77710,
node:1705334173,Lopez Mateos Sur,,Zapopan,,,
node:1707410876,Isabel La Católica,63,Ciudad de México,,06000,
node:1707714881,,,,,,
node:1707752513,,,,,,
node:1709022717,,,,,,
node:1709167705,,,,,,
node:1709167706,,,,,,
node:1710783906,,,,,,
node:1710783923,,,,,,
node:1711855777,,,,,,
node:1712131932,,,,,,
node:1712153042,,,,,,
node:1713491711,,,,,,
node:1719089025,,,,,,
node:1719089066,,,,,,
node:1719089091,,,,,,
node:1719309730,,,,,,
node:1721116012,,,,,,
node:1721504679,,,,,54600,
node:1721711749,,,,,,
node:1722085549,,,,,,
node:1722436811,,,,,,
node:1722539539,,,,,,
node:1728270932,,,,,,
node:1734181681,,,,,,
node:1734310905,,,,,,
node:1737895067,,,,,,
node:1740672508,,,,,,
node:1744351447,,,,,,
node:1748685667,,,,,,
node:1752127945,,,,,,
node:1754424948,,,,,,
node:1768765297,,,,,,
node:1768768593,,,,,,
node:1770114476,,,,,,
node:1770114478,Carretera Transpeninsular,km 19.5,San Jose del Cabo,,23400,
node:1770114480,,,,,,
node:1770114965,,,,,,
node:1776231751,,,,,,
node:1784994137,,,,,,
node:1786358195,,,,,,
node:1786771621,Calle Río Danubio,400,San Pedro Garza García,,66220,
node:1786771624,Avenida José Vasconcelos,402,Monterrey,,66268,
node:1793813393,,,,,,
node:1798720915,,,,,,
node:1798720946,,,,,,
node:1798802878,Boulevard Aeropuerto,5028,Apodaca,,66600,
