id,node_type,internet_access,air_conditioning,hot_water,swimming_pool,laundry,kitchen,breakfast,toilets,wheelchair,check_in,check_out,rooms,beds
828862783,node,,,,,,,,,,,,,
831587945,node,,,,,,,,,,,,,
831587946,node,,,,,,,,,,,,,
833661728,node,,,,,,,,,,,,23,
846187843,node,,,,,,,,,,,,6,
846187849,node,,,,,,,,,,,,13,
848132766,node,,,,,,,,,,,,,
848316821,node,wlan,yes,,outdoor,,,,,yes,,,50,
848316824,node,wlan,,,outdoor,,,,,yes,,,125,
851946858,node,,,,,,,,,,,,14,
851946874,node,,,,,,,,,,,,23,
851946961,node,,,,,,,,,,,,11,
851947120,node,,,,,,,,,,,,14,
851947157,node,,,,,,,,,,,,23,
851947198,node,,,,,,,,,,,,,
852076023,node,,,,,,,,,,,,,
852103457,node,,,,,,,,,,,,19,
854429425,node,,,,,,,,,,,,,
855100088,node,,,,,,,,,,,,29,
857993408,node,,,,,,,,,,,,85,
857993414,node,,,,,,,,,,,,63,
857993418,node,,,,,,,,,,,,11,
857993427,node,,,,,,,,,,,,41,
857993433,node,,,,,,,,,,,,19,
857993444,node,,,,,,,,,,,,58,
857998303,node,,,,,,,,,,,,40,
858894317,node,,,,,,,,,yes,,,16,
858894548,node,,,,,,,,,,,,8,
858997389,node,,,,,,,,,,,,14,
858997488,node,,,,,,,,,,,,12,
858997532,node,,,,,,,,,,,,45,
859063478,node,,,,,,,,,,,,18,
859063504,node,,,,,,,,,,,,25,
859063527,node,,,,,,,,,,,,6,
859370867,node,wlan,,,,,,,,limited,,,39,
863771790,node,,,,,,,,,,,,287,
863771797,node,,,,,,,,,,,,17,
863771847,node,,,,,,,,,,,,15,
863771859,node,,,,,,,,,,,,34,
863771868,node,,,,,,,,,,,,23,
863771878,node,,,,,,,,,,,,33,
863771890,node,,,,,,,,,,,,507,
863771894,node,,,,,,,,,,,,18,
863771899,node,,,,,,,,,,,,8,
863771911,node,,,,,,,,,,,,15,
863771923,node,,,,,,,,,,,,29,
863771932,node,,,,,,,,,,,,15,
863771935,node,,,,,,,,,,,,12,
863771943,node,,,,,,,,,,,,15,
863771957,node,,,,,,,,,,,,39,
863771968,node,,,,,,,,,,,,18,
863771998,node,,,,,,,,,,,,10,
863772007,node,,,,,,,,,,,,20,
865040882,node,,,,,,,,,,,,35,
865040976,node,,,,,,,,,,,,17,
865041053,node,,,,,,,,,,,,10,
865041339,node,,,,,,,,,,,,11,
865041807,node,,,,,,,,,,,,25,
865041988,node,,,,,,,,,,,,27,
865042083,node,,,,,,,,,,,,15,
865061919,node,,,,,,,,,,,,26,
870856575,node,,,,,,,,,,,,12,
870856604,node,,,,,,,,,,,,,
870856612,node,,,,,,,,,,,,10,
870856660,node,,,,,,,,,yes,,,24,
870856723,node,,,,,,,,,,,,8,
870856833,node,,,,,,,,,,,,10,
870856844,node,,,,,,,,,,,,20,
870856905,node,,,,,,,,,,,,131,
870856951,node,,,,,,,,,,,,11,
870856976,node,,,,,,,,,,,,,
882127354,node,,,,,,,,,,,,,
887070973,node,,,,,,,,,,,,,
887070981,node,yes,,,,,,,,,,,,
890960598,node,,,,,,,,,,,,,
898194251,node,,,,,,,,,,,,,
898203762,node,,,,,,,,,,,,,
902953409,node,,,,,,,,,,,,,
903641472,node,,,,,,,,,,,,,
906435903,node,,,,,,,,,,,,,
912009855,node,,,,,,,,,,,,,
912010380,node,,,,,,,,,,,,,
912329336,node,wlan,yes,,,,,,,yes,,,48,
914948677,node,,,,,,,,,,,,,
920559337,node,,,,,,,,,,,,18,
920559339,node,,,,,,,,,,,,33,
920559343,node,,,,,,,,,,,,,
